Day of Week,Date,DS-160(Time) M,ECON-232(Time) M,IDC-401(Time) M,Work(Time) M
Monday,1/8/24,,50,,
Tuesday,1/9/24,75,,200,
Wednesday,1/10/24,,55,,240
Thursday,1/11/24,80,,,240
Friday,1/12/24,,50,,300
Saturday,1/13/24,,,,360
Sunday,1/14/24,,20,,360
Monday,1/15/24,22,,,
Tuesday,1/16/24,80,,120,
Wednesday,1/17/24,,52,,245
Thursday,1/18/24,,,,240
Friday,1/19/24,,50,,302
Saturday,1/20/24,,,,360
Sunday,1/21/24,,,,365
Monday,1/22/24,,50,,
Tuesday,1/23/24,76,30,137,
Wednesday,1/24/24,,50,,200
Thursday,1/25/24,100,,,253
Friday,1/26/24,,50,,200
Saturday,1/27/24,,,,320
Sunday,1/28/24,,,,300
Monday,1/29/24,,50,,
Tuesday,1/30/24,85,,152,
Wednesday,1/31/24,,50,,280
Thursday,2/1/24,75,,,300
Friday,2/2/24,,53,,485
Saturday,2/3/24,,,,362
Sunday,2/4/24,,,,360
Monday,2/5/24,,60,,
Tuesday,2/6/24,80,20,90,
Wednesday,2/7/24,,50,,324
Thursday,2/8/24,75,,,250
Friday,2/9/24,,,,187
Saturday,2/10/24,,,,307
Sunday,2/11/24,,,,300
Monday,2/12/24,,,,
Tuesday,2/13/24,10,,20,
Wednesday,2/14/24,10,50,,315
Thursday,2/15/24,75,,,330
Friday,2/16/24,,,,360
Saturday,2/17/24,,,,360
Sunday,2/18/24,,,,365
Monday,2/19/24,37,50,,
Tuesday,2/20/24,75,,127,
Wednesday,2/21/24,45,50,,330
Thursday,2/22/24,80,,,337
Friday,2/23/24,,50,,390
Saturday,2/24/24,,,,425
Sunday,2/25/24,,,,400
Monday,2/26/24,60,50,,
Tuesday,2/27/24,75,,147,
Wednesday,2/28/24,80,53,,360
Thursday,2/29/24,75,,,370
Friday,3/1/24,,55,,390
Saturday,3/2/24,,,,415
Sunday,3/3/24,,,,418
Monday,3/4/24,30,51,,
Tuesday,3/5/24,75,,120,245
Wednesday,3/6/24,15,55,,360
Thursday,3/7/24,75,,,330
Friday,3/8/24,,54,,
Saturday,3/9/24,,,,428
Sunday,3/10/24,,,90,415
Monday,3/11/24,,50,90,
Tuesday,3/12/24,75,,300,
Wednesday,3/13/24,65,50,,370
Thursday,3/14/24,76,,,385
Friday,3/15/24,,52,,415
Saturday,3/16/24,,,,435
Sunday,3/17/24,,,,
Monday,3/18/24,,53,,
Tuesday,3/19/24,75,,115,
Wednesday,3/20/24,,50,,345
Thursday,3/21/24,75,,,373
Friday,3/22/24,,,,415
Saturday,3/23/24,,,,423
Sunday,3/24/24,,50,,447
Monday,3/25/24,80,50,,
Tuesday,3/26/24,75,,180,
Wednesday,3/27/24,120,50,,378
Thursday,3/28/24,75,,,375
Friday,3/29/24,,50,,420
Saturday,3/30/24,,,,450
Sunday,3/31/24,,,,457
Monday,4/1/24,,50,,
Tuesday,4/2/24,75,,97,
Wednesday,4/3/24,130,50,,360
Thursday,4/4/24,75,,,352
Friday,4/5/24,,53,,430
Saturday,4/6/24,,,,455
Sunday,4/7/24,,,,420
Monday,4/8/24,60,50,,
Tuesday,4/9/24,75,,108,326
Wednesday,4/10/24,,37,,355
Thursday,4/11/24,75,90,,367
Friday,4/12/24,,50,65,430
Saturday,4/13/24,,,,416
Sunday,4/14/24,,,159,405
Monday,4/15/24,65,50,120,
Tuesday,4/16/24,75,,180,
Wednesday,4/17/24,30,55,,363
Thursday,4/18/24,75,,,380
Friday,4/19/24,,53,,415
Saturday,4/20/24,,,,455
Sunday,4/21/24,,,,435
Monday,4/22/24,60,56,,